상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 화양동 9-91번지 ,서울특별시 광진구 동일로22길 81  (화양동),,댄싱전자게임장,206000.9861,448808.0905
폐업,서울특별시 광진구 자양동 43-44번지 지층 ,"서울특별시 광진구 뚝섬로 483-2  (자양동,지층)",,게임마을,205601.8424,448265.1727
폐업,서울특별시 광진구 구의동 252-115번지 ,서울특별시 광진구 자양로18길 19  (구의동),,라스베가스 게임랜드,207413.4603,448398.4022
폐업,서울특별시 광진구 자양동 614-21번지 ,서울특별시 광진구 뚝섬로45길 15  (자양동),,사이버게임랜드,206772.5329,447914.4106
허가취소,서울특별시 광진구 광장동 184-11번지 ,서울특별시 광진구 아차산로78길 170  (광장동),,한강오락실,209505.0459,449527.0554
폐업,서울특별시 광진구 군자동 184-0번지 ,서울특별시 광진구 동일로 278  (군자동),,사이버오락실,206309.5908,450430.8847
폐업,서울특별시 광진구 중곡동 78-11번지 ,서울특별시 광진구 영화사로 5  (중곡동),,신성오락실,207740.2461,450698.3083
폐업,서울특별시 광진구 자양동 634-2번지 ,서울특별시 광진구 뚝섬로55길 45  (자양동),,밀레니엄  게임월드,207102.6249,447875.4845
폐업,서울특별시 광진구 자양동 634-0번지 ,서울특별시 광진구 자양로13길 73-1  (자양동),,동명경품게임장,207081.7704,447893.8011
폐업,서울특별시 광진구 군자동 467-8번지 ,서울특별시 광진구 동일로60길 43  (군자동),,스타게임랜드,206627.2066,450625.7346
폐업,서울특별시 광진구 중곡동 246-5번지 ,서울특별시 광진구 긴고랑로 22  (중곡동),,올림픽,206884.0557,451233.4067
