상세영업상태명,지번주소,도로명주소,도로명우편번호,사업장명,업태구분명,좌표정보(X),좌표정보(Y)
폐업,서울특별시 광진구 화양동 17-51번지 ,,,블랙홀,단란주점,206099.9645,449354.5636
폐업,서울특별시 광진구 화양동 23-18번지 ,,,파트너단란주점,단란주점,205866.1097,449455.2947
폐업,서울특별시 광진구 군자동 463-9번지 ,,,삼정단란주점,단란주점,206484.5318,450741.1132
폐업,서울특별시 광진구 구의동 218-1번지 ,,,월드컵단란주점,단란주점,208166.4686,448569.8007
폐업,서울특별시 광진구 구의동 227-43번지 ,,,아리아단란주점,단란주점,207931.6087,449040.5375
영업,서울특별시 광진구 자양동 1-3번지 ,서울특별시 광진구 아차산로 242 (자양동),5073,펌프,단란주점,206109.9871,448630.833
폐업,서울특별시 광진구 광장동 530-37번지 ,,,보물섬,단란주점,,
폐업,서울특별시 광진구 구의동 221-12번지 ,,,청솔단란주점,단란주점,207828.8476,448635.5766
영업,서울특별시 광진구 화양동 48-22번지 ,서울특별시 광진구 동일로22길 48 (화양동),5019,뮤직타운,단란주점,205839.5294,448833.2523
폐업,서울특별시 광진구 자양동 4-1번지 ,,,샤브단란주점,단란주점,205998.5696,448429.4796
영업,서울특별시 광진구 화양동 47-5번지 ,서울특별시 광진구 아차산로29길 33 (화양동),5018,짱,단란주점,205999.4278,448902.6328
폐업,서울특별시 광진구 군자동 478-1 ,서울특별시 광진구 천호대로 546 (군자동),4997,썬노래바,단란주점,206880.2162,450544.7584
폐업,서울특별시 광진구 자양동 677-7번지 ,,,탈랜트,단란주점,207491.509,447717.4451
폐업,서울특별시 광진구 자양동 8-4번지 ,서울특별시 광진구 아차산로 214 (자양동),5072,보스단란주점,단란주점,205862.0001,448736.6403
폐업,"서울특별시 광진구 능동 237-2번지 ,11 ",,,나사,단란주점,,
폐업,서울특별시 광진구 화양동 8-24번지 ,,,삼학년삼반청개구리단란주점,단란주점,206122.1147,448756.3778
폐업,서울특별시 광진구 군자동 355-10번지 ,,,피플,단란주점,205932.9775,449586.5194
폐업,서울특별시 광진구 화양동 94-82번지 ,,,팍스팍단란주점,단란주점,206395.3361,449289.8332
폐업,서울특별시 광진구 자양동 7-8번지 ,,,티케이오단란주점,단란주점,206010.3046,448637.4524
영업,서울특별시 광진구 중곡동 31-10,서울특별시 광진구 능동로 380 (중곡동),4934,궁전노래주점,단란주점,207262.1804,451204.0591
폐업,서울특별시 광진구 자양동 2-9번지 ,,,투미단란주점,단란주점,206094.7066,448582.0836
영업,서울특별시 광진구 군자동 476-18번지 ,서울특별시 광진구 능동로35길 9 (군자동),4997,7080 라이브,단란주점,206856.1538,450488.3789
폐업,서울특별시 광진구 구의동 252-3번지 ,,,테니스클럽단란주점,단란주점,207421.5144,448550.3859
영업,서울특별시 광진구 화양동 5-73번지 ,서울특별시 광진구 아차산로33길 16 (화양동),5017,락,단란주점,206142.0817,448757.3545
폐업,서울특별시 광진구 능동 222-4번지 ,,,소피아단란주점,단란주점,207132.6922,450416.1782
폐업,서울특별시 광진구 구의동 252-6번지 ,,,원투쓰리단란주점,단란주점,207428.8683,448444.8946
영업,서울특별시 광진구 구의동 54-5번지 ,서울특별시 광진구 자양로 275 (구의동),4954,꽃피는산골,단란주점,207975.5581,449815.8503
폐업,서울특별시 광진구 화양동 9-47 ,서울특별시 광진구 아차산로29길 38 (화양동),5018,더블유,단란주점,206028.4332,448915.258
폐업,서울특별시 광진구 화양동 112-12번지 ,,,울퉁불퉁단란주점,단란주점,206385.9234,449411.9133
폐업,서울특별시 광진구 중곡동 150-202번지 ,,,이삭단란주점,단란주점,207452.1712,450915.1583
영업,서울특별시 광진구 군자동 473-15 ,서울특별시 광진구 능동로35길 18 (군자동),4996,산타페노래방주점,단란주점,206826.5638,450528.5733
폐업,서울특별시 광진구 구의동 257-76번지 ,,,탈렌트,단란주점,207456.5121,448476.7479
폐업,서울특별시 광진구 자양동 779-3번지 ,,,대왕,단란주점,207186.0816,448336.6977
폐업,서울특별시 광진구 구의동 68-34번지 ,,,윙크단란주점,단란주점,207517.7207,449235.5036
