시군구명,어린이집명,시설 위도(좌표값),시설 경도(좌표값)
영등포구,한국쓰리엠어린이집,37.5226819495,126.921854052
영등포구,은해어린이집,37.5184328328417,126.933658891506
영등포구,둥근마음어린이집,37.5181428552877,126.930772403019
영등포구,the KIDS 여의도2 어린이집,37.5221796951908,126.919917908976
영등포구,한세예스24 어린이집,37.52867644663,126.92137264071
영등포구,the KIDS 여의도1 어린이집,37.5271155515121,126.917541417231
영등포구,국회제3어린이집,37.5329135959236,126.916403641513
영등포구,메리츠어린이집,37.5241697387015,126.926427318355
영등포구,한화여의도어린이집,37.5240305291371,126.922888878192
영등포구,LG사랑어린이집,37.5279271410152,126.929240046049
영등포구,KDB꿈나무어린이집,37.5278179913344,126.922026940226
영등포구,KDB어린이집,37.5271216140956,126.920833030447
영등포구,케이알엑스푸르니어린이집,37.52291326651,126.928041251312
영등포구,한국수출입은행 꿈누리 어린이집,37.5286370114368,126.923401755054
영등포구,금융투자협회푸르니어린이집,37.5240652725467,126.926031021633
영등포구,여의동어린이집,37.51766359,126.9345949
영등포구,국회제2어린이집,37.53110328,126.9165478
영등포구,한국휴렛팩커드푸르니 어린이집,37.5194163302811,126.928350482158
영등포구,하늘어린이집,37.52076437,126.9370282
영등포구,여의도순복음어린이집,37.5306848,126.9232031
영등포구,금융감독원어린이집,37.52304731,126.9213942
영등포구,여의도아이사랑어린이집,37.52131007,126.9324966
영등포구,성모어린이집,37.5179933,126.9360868
영등포구,KBS어린이집,37.52560431,126.9164565
영등포구,국회제1어린이집,37.5313525781293,126.912016237391
영등포구,에덴어린이집,37.5270512811,126.9296102411
영등포구,자연과아이어린이집,37.5246215398,126.8989370763
영등포구,순수 빅스맘 어린이집,37.5257954677748,126.90205331426
영등포구,선재어린이집,37.5286217001646,126.894487824499
영등포구,온새미로어린이집,37.5252042327309,126.901839144777
영등포구,로얄키즈어린이집,37.5209096798256,126.895193103475
영등포구,베네베네어린이집,37.5240232207884,126.894862885578
영등포구,아이네오어린이집,37.5276943535467,126.893244685654
영등포구,당성어린이집,37.52281333,126.8977119
영등포구,피터팬어린이집,37.52358452,126.8949051
영등포구,영등포구청직장어린이집,37.5286217001646,126.894487824499
영등포구,푸른숲어린이집,37.52358452,126.8949051
영등포구,구민회관어린이집,37.52606609,126.9008069
영등포구,당산1동어린이집,37.52306349,126.8984492
영등포구,신길햇살아이파크어린이집,37.5046508407879,126.905521908612
영등포구,아이온어린이집,37.505009382741,126.908888924086
영등포구,프레비뉴어린이집,37.5045957876724,126.910020391871
영등포구,꿈이크는어린이집,37.5067385427726,126.903207028894
영등포구,금빛어린이집,37.50432018,126.900972
영등포구,은빛어린이집,37.5053087221124,126.900222457648
영등포구,코끼리어린이집,37.50558228,126.9070621
영등포구,명신어린이집,37.5076327075,126.9083699948
영등포구,신길힐스테이트나래어린이집,37.5042006342232,126.911728614524
영등포구,영신어린이집,37.50398394,126.9107804
영등포구,하나푸르니신길어린이집,37.50710215,126.911727
영등포구,위즈키즈어린이집,37.5051262508596,126.914566267444
영등포구,예승아트스쿨어린이집,37.5078418,126.9118136
영등포구,신길센트럴자이 솔빛 어린이집,37.5029902729437,126.907783055593
영등포구,푸르름어린이집,37.5014191105,126.9035101208
영등포구,신길5동어린이집,37.49758565,126.9060998
영등포구,라온어린이집,37.4938136602922,126.902343871384
영등포구,새솔아델포레어린이집,37.4943580052568,126.906979486599
영등포구,별이달이어린이집,37.4959097734424,126.903896038936
영등포구,리틀푸른어린이집,37.4910178785611,126.90600693457
영등포구,더크는어린이집,37.4910157927271,126.905000655613
영등포구,완두콩어린이집,37.4929868083651,126.904886398576
영등포구,신대림어린이집,37.4962861,126.9069488
영등포구,강성어린이스쿨어린이집,37.4929845102925,126.902073561343
영등포구,대림1동어린이집,37.4954839,126.9059462
영등포구,키즈어린이집,37.4911129271,126.8965624104
영등포구,해달별 아이사랑어린이집,37.49297425,126.8987432
영등포구,튼튼어린이집,37.48912755,126.8987273
영등포구,윤지어린이집,37.48835064,126.9029655
영등포구,대림2동어린이집,37.4926207299,126.8980801055
동작구,삼광어린이집,37.4825690262168,126.977882510461
동작구,구립라온어린이집,37.4831278522985,126.978678921171
동작구,예주어린이집,37.4809385782319,126.977215970079
동작구,성진어린이집,37.48092168,126.9772044
동작구,구립참사랑어린이집,37.48279028,126.9774966
동작구,예성어린이집,37.48375657,126.9807715
서초구,서초구립 서초교대e편한세상어린이집,37.4964612267947,127.016911754741
서초구,서초구립 롯데캐슬킨더어린이집,37.5004880397392,127.021164860269
서초구,서초구립 누리아미어린이집,37.5026908132803,127.022177670463
서초구,서초구립 서초4동써밋1어린이집,37.5013068301415,127.021158023157
