사업종류,상호,주소,자치구,법정동
판매사업,삼화가스,서울특별시 종로구 누하동  3번지  ,종로구,누하동
판매사업,한신가스,서울특별시 구로구 오류동  81번지 41호  ,구로구,오류동
판매사업,삼성가스,서울특별시 강남구 개포동  187번지  ,강남구,개포동
판매사업,한솔가스,서울특별시 동대문구 전농동  581번지 53호  ,동대문구,전농동
판매사업,한솔가스,서울특별시 동대문구 전농동  581번지 53호  ,동대문구,전농동
충전사업,수도에너지(주) 신정동 충전소,서울특별시 양천구 신정동  813번지 17호  ,양천구,신정동
가스용품제조사업,장위데이타시스템(주),서울특별시 성북구 장위동  44번지  ,성북구,장위동
판매사업,오성가스,서울특별시 동대문구 이문동  217번지 12호  ,동대문구,이문동
판매사업,대양가스,서울특별시 마포구 공덕동  255번지 23호  ,마포구,공덕동
판매사업,한양가스,서울특별시 관악구 신림동  546번지 3호  ,관악구,신림동
판매사업,한일가스상사,서울특별시 구로구 오류동  147번지 2호  ,구로구,오류동
판매사업,화랑가스,서울특별시 마포구 토정동  3번지 1호  ,마포구,토정동
판매사업,엘지가스상사,서울특별시 영등포구 도림동  80번지 35호  ,영등포구,도림동
판매사업,평화가스상사,서울특별시 영등포구 대림동  1032번지 25호  ,영등포구,대림동
판매사업,우이가스,서울특별시 강북구 수유동  270번지 199호  ,강북구,수유동
판매사업,중앙가스,서울특별시 강서구 화곡동  900번지 37호  ,강서구,화곡동
판매사업,유공가스,서울특별시 양천구 신정동  162번지 1호  ,양천구,신정동
판매사업,동남가스,서울특별시 강동구 성내동  288번지 4호  ,강동구,성내동
판매사업,하나에너지,서울특별시 용산구 청파동2가  104번지 2호  ,용산구,청파동2가
판매사업,동양가스,서울특별시 강동구 천호동  450번지 23호  ,강동구,천호동
판매사업,가스텍코리아(주),서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
충전사업,신성에너지(주) 공릉,서울특별시 노원구 공릉동  529번지 13호  ,노원구,공릉동
충전사업,중곡충전소,서울특별시 광진구 중곡동  611번지 7호  ,광진구,중곡동
충전사업,대치가스(주),서울특별시 강남구 대치동  27번지 15호  ,강남구,대치동
충전사업,대치에너지(주),서울특별시 강남구 대치동  27번지 15호  ,강남구,대치동
판매사업,태양가스,서울특별시 용산구 한남동  109번지 2호  ,용산구,한남동
판매사업,가스만서비스,서울특별시 강동구 둔촌동  67번지  ,강동구,둔촌동
충전사업,서초충전소,서울특별시 서초구 방배동  623번지 5호  ,서초구,방배동
가스용품제조사업,(주) 유한정공,서울특별시 성동구 성수동2가  272번지 6호  ,성동구,성수동2가
판매사업,효성가스,서울특별시 양천구 신월동  438번지 3호  ,양천구,신월동
저장소설치,현대종합기계,서울특별시 성동구 성수동2가  284-3번지  ,성동구,성수동2가
판매사업,서울가스,서울특별시 강동구 성내동  542번지 1호  ,강동구,성내동
가스용품제조사업,(주)한국 지이,"서울특별시 금천구 가산동  327번지 24호  대륭테크노타운1차 401-1호, 103호",금천구,가산동
판매사업,유공가스,서울특별시 구로구 구로동  125번지 98호  ,구로구,구로동
판매사업,삼성가스상사,서울특별시 광진구 자양동  489번지 13호  ,광진구,자양동
가스용품제조사업,(주)코리아컨버션,서울특별시 구로구 온수동  100번지 22호  ,구로구,온수동
판매사업,세종에이엠씨9주),서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
충전사업,(주)영동가스,서울특별시 서초구 잠원동  55번지 5호  ,서초구,잠원동
가스용품제조사업,백산금속,서울특별시 성동구 성수동1가  656번지 334호  ,성동구,성수동1가
판매사업,린나이가스,서울특별시 노원구 상계동  140번지 105호  ,노원구,상계동
판매사업,신성가스,서울특별시 은평구 진관동  557-9번지  ,은평구,진관동
충전사업,양천상사,서울특별시 강서구 마곡동  22번지 4호  ,강서구,마곡동
집단공급사업,(주)한국가스산업,서울특별시 강서구 화곡동  220번지 28호  홍진아파트,강서구,화곡동
판매사업,(주)삼원가스,서울특별시 강서구 화곡동  1013번지 14호  ,강서구,화곡동
