노드 유형 코드,시군구코드,시군구명,읍면동코드,읍면동명,육교,Longitude,Latitude
0.0,1153000000,구로구,1153010300,가리봉동,1,126.8958086022239,37.478650701760486
0.0,1153000000,구로구,1153010300,가리봉동,1,126.89548555228029,37.47864240647953
0.0,1153000000,구로구,1153010300,가리봉동,1,126.89563146831311,37.478625580165435
0.0,1153000000,구로구,1153010700,개봉동,1,126.85040143517627,37.4923445623178
0.0,1153000000,구로구,1153010700,개봉동,1,126.85052736655365,37.493079977433254
2.0,1153000000,구로구,1153010700,개봉동,1,126.84692299134558,37.50055029681766
0.0,1153000000,구로구,1153010600,고척동,1,126.84966552417245,37.506271766410656
0.0,1153000000,구로구,1153011000,온수동,1,126.82349636844526,37.49252386967243
0.0,1153000000,구로구,1153010600,고척동,1,126.84854895567926,37.50404014670744
0.0,1153000000,구로구,1153010200,구로동,1,126.87203043541642,37.501319533949086
0.0,1153000000,구로구,1153010200,구로동,1,126.87218316010126,37.501303561419874
0.0,1153000000,구로구,1153010600,고척동,1,126.84836811477525,37.50397354670902
0.0,1153000000,구로구,1153010200,구로동,1,126.86912835707032,37.499154638066194
0.0,1153000000,구로구,1153010200,구로동,1,126.87105262229628,37.49501757317056
0.0,1153000000,구로구,1153010600,고척동,1,126.84984140560411,37.50594930440788
0.0,1153000000,구로구,1153010200,구로동,1,126.87291915907242,37.498864682045486
0.0,1153000000,구로구,1153010200,구로동,1,126.87286734084267,37.499173408046865
2.0,1153000000,구로구,1153010700,개봉동,1,126.8470660415898,37.500831974136496
0.0,1153000000,구로구,1153010200,구로동,1,126.87239211875165,37.49908668936607
0.0,1153000000,구로구,1153010300,가리봉동,1,126.88206105474231,37.48603281176102
0.0,1153000000,구로구,1153011200,항동,1,126.82314703860959,37.47683756623096
0.0,1153000000,구로구,1153010200,구로동,1,126.89431157467368,37.494382793101444
0.0,1153000000,구로구,1153010200,구로동,1,126.87229860310802,37.501288360712664
0.0,1153000000,구로구,1153010700,개봉동,1,126.85647619273558,37.495416887339196
0.0,1153000000,구로구,1153010200,구로동,1,126.87102762249596,37.49837001449887
0.0,1153000000,구로구,1153010200,구로동,1,126.8713323056716,37.49829882743082
0.0,1153000000,구로구,1153010800,오류동,1,126.84179254770692,37.49909831586838
0.0,1153000000,구로구,1153010800,오류동,1,126.8420570137979,37.499002550498666
0.0,1153000000,구로구,1153010800,오류동,1,126.84143994037399,37.49876600283686
0.0,1153000000,구로구,1153010700,개봉동,1,126.85067280265645,37.49020739347234
0.0,1153000000,구로구,1153010700,개봉동,1,126.85062858198484,37.490779476875815
0.0,1153000000,구로구,1153010200,구로동,1,126.89789337814781,37.48712706407413
0.0,1153000000,구로구,1153010200,구로동,1,126.87090168183428,37.497036552505065
0.0,1153000000,구로구,1153010200,구로동,1,126.8705905872863,37.49711028571995
0.0,1153000000,구로구,1153010200,구로동,1,126.87153018888682,37.49694272998038
0.0,1153000000,구로구,1153010200,구로동,1,126.87171949065701,37.49685098226711
0.0,1153000000,구로구,1153010200,구로동,1,126.87261336266316,37.49906649405999
0.0,1153000000,구로구,1153010200,구로동,1,126.8726682364618,37.498846886784584
0.0,1153000000,구로구,1153010200,구로동,1,126.87256257131797,37.498770145017254
0.0,1153000000,구로구,1153010100,신도림동,1,126.87646658842016,37.51001846899235
0.0,1153000000,구로구,1153010100,신도림동,1,126.8754056867404,37.50878153745252
0.0,1153000000,구로구,1153010200,구로동,1,126.87116761708322,37.49525779930443
0.0,1153000000,구로구,1153010300,가리봉동,1,126.88568625612324,37.48290748363259
0.0,1153000000,구로구,1153010300,가리봉동,1,126.8854476438073,37.48307202892619
0.0,1153000000,구로구,1153010300,가리봉동,1,126.88553397305121,37.48295768454152
0.0,1153000000,구로구,1153010200,구로동,1,126.882381560602,37.50169911598059
0.0,1153000000,구로구,1153010200,구로동,1,126.88229780406348,37.50189065605746
0.0,1153000000,구로구,1153010600,고척동,1,126.85547800978556,37.50832219995977
0.0,1153000000,구로구,1153010700,개봉동,1,126.85022126210511,37.48174125041645
0.0,1153000000,구로구,1153010200,구로동,1,126.88211973278874,37.50182410052254
3.0,1153000000,구로구,1153010200,구로동,1,126.88169264124724,37.50148988053869
0.0,1153000000,구로구,1153010200,구로동,1,126.881818956707,37.50153806660493
0.0,1153000000,구로구,1153010200,구로동,1,126.88192335477389,37.50175084956119
0.0,1153000000,구로구,1153010200,구로동,1,126.87462704466455,37.49533878769131
0.0,1153000000,구로구,1153010800,오류동,1,126.8323095550933,37.49177376059148
0.0,1153000000,구로구,1153010600,고척동,1,126.85451724377384,37.50736325262467
0.0,1153000000,구로구,1153010100,신도림동,1,126.87519910089411,37.50890315378787
0.0,1153000000,구로구,1153010700,개봉동,1,126.84548727230909,37.49872559478397
0.0,1153000000,구로구,1153010800,오류동,1,126.84427424738524,37.499140518770915
0.0,1153000000,구로구,1153010200,구로동,1,126.89381200337017,37.49802883499924
0.0,1153000000,구로구,1153010200,구로동,1,126.89373914485887,37.498214894140006
0.0,1153000000,구로구,1153010800,오류동,1,126.84565761365128,37.49411666813208
0.0,1153000000,구로구,1153010800,오류동,1,126.8437640939261,37.49859288082268
0.0,1153000000,구로구,1153010800,오류동,1,126.8439210334185,37.499094281555834
0.0,1153000000,구로구,1153010800,오류동,1,126.84385834505083,37.49885161201851
0.0,1153000000,구로구,1153010800,오류동,1,126.84364912588225,37.498627057026056
0.0,1153000000,구로구,1153010800,오류동,1,126.83497974105089,37.49937208958325
0.0,1153000000,구로구,1153010800,오류동,1,126.84437190060245,37.49914522456624
0.0,1153000000,구로구,1153010800,오류동,1,126.83568341472947,37.4980960575451
