지번주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),자치구,법정동
"서울특별시 노원구 월계동 295-4 , 29호, 30호 ",신성주유소,주유소,204991.692071337,458493.398239362,노원구,월계동
서울특별시 노원구 공릉동 230-17 ,유한책임회사 동하석유 태릉솔밭지점,주유소,207486.11913221,458182.990310787,노원구,공릉동
서울특별시 노원구 월계동 364-2 GS칼텍스 성북역주유소 ,성북역주유소,주유소,205221.532113117,458159.713236152,노원구,월계동
"서울특별시 노원구 하계동 271-3 극동,건영,벽산아파트 ",(주)에스지에너지,항공유판매소,205601.066015629,459233.675551946,노원구,하계동
서울특별시 노원구 상계동 718-2,SK에너지(주)직영상계주유소,주유소,205790.360913202,461508.467445612,노원구,상계동
서울특별시 노원구 중계동 366-8,구도일주유소 불암,주유소,206746.767366038,460999.981873359,노원구,중계동
서울특별시 은평구 역촌동 63-21 ,대명석유,일반판매소,192470.662276857,455632.88253264,은평구,역촌동
서울특별시 은평구 응암동 101-78 ,동일에너지,일반판매소,193129.908974117,455059.150999591,은평구,응암동
서울특별시 은평구 진관동 240-27,성원E&S은평지점,주유소,192830.222863779,458550.572564312,은평구,진관동
서울특별시 은평구 불광동 217-3 ,동일석유,일반판매소,193930.707919201,457489.780069315,은평구,불광동
서울특별시 은평구 녹번동 154-1,코끼리주유소,주유소,193233.784776026,455803.126126447,은평구,녹번동
서울특별시 은평구 응암동 592-34 ,대림석유,일반판매소,192388.978591747,453941.469868713,은평구,응암동
서울특별시 서대문구 연희동 353-77,순팔에너지,일반판매소,193601.633872308,451178.38185999,서대문구,연희동
서울특별시 서대문구 충정로3가 19-3 ,SK에너지,일반판매소,196525.591393872,451159.897628702,서대문구,충정로3가
서울특별시 서대문구 홍은동 431 ,광호주유소,주유소,194318.160797684,453156.063553934,서대문구,홍은동
서울특별시 서대문구 남가좌동 329-34 ,남정주유소,주유소,193352.234632942,452599.960623025,서대문구,남가좌동
서울특별시 서대문구 북가좌동 293-4 ,SM켐,용제판매소,192211.628331859,453215.0823555,서대문구,북가좌동
서울특별시 서대문구 연희동 446-4 삼미상사(주)서부주유소,삼미상사(주) 서부주유소,주유소,192760.827056034,451703.774668924,서대문구,연희동
