교육지원청명,자치구,유치원명,공립/사립,유형,주소,,Latitude,Longitude,운영시간,만3세학급수,만4세학급수,만5세학급수,혼합학급수,특수학급수,만3세유아수,만4세유아수,만5세유아수,혼합유아수,특수유아수,보직교사수,일반교사수,특수교사수,기간제교사수,총 교사수
남부교육지원청,구로구,개봉샛별유치원(구로구),사립,법인,서울특별시 구로구 개봉로18길 11,,37.4915926,126.8568341,09시00분~18시00분,1,1,1,0,0,9,11,20,0,0,0,4,0,0,4
남부교육지원청,영등포구,파랑새유치원(영등포구),사립,사인,서울특별시 영등포구 가마산로 384,,37.5023747,126.9003062,07시00분~19시00분,2,2,1,0,0,25,29,25,0,0,0,8,0,0,8
남부교육지원청,영등포구,평화유치원(영등포구),사립,사인,서울특별시 영등포구 선유동2로 40,,37.5323989,126.8968285,07시00분~19시00분,0,0,0,2,0,0,0,0,48,0,0,5,0,0,5
북부교육지원청,노원구,선덕유치원(노원구),사립,사인,서울특별시 노원구 섬밭로 190,,37.6337017,127.0678655,07시00분~19시00분,1,1,1,0,0,6,13,22,0,0,0,4,0,0,4
북부교육지원청,노원구,염광유치원(노원구),사립,법인,서울특별시 노원구 월계로45가길 9,,37.6307926,127.0504906,08시00분~19시00분,0,2,2,0,0,0,24,26,0,0,0,5,0,0,5
서부교육지원청,서대문구,서울북성유치원(서대문구),공립,단설,서울특별시 서대문구 북아현로1나길 32,,37.5592385,126.9519867,07시00분~19시00분,2,2,2,0,1,21,35,37,0,5,2,4,1,0,7
성동광진교육지원청,광진구,성수아름유치원(광진구),사립,사인,서울특별시 광진구 뚝섬로 476-15,,37.5363765,127.0623944,09시00분~19시00분,0,0,0,1,0,0,0,0,20,0,0,2,0,0,2
성동광진교육지원청,광진구,정신유치원(광진구),사립,사인,서울특별시 광진구 뚝섬로23길 27,,37.5372775,127.0646348,07시00분~20시00분,1,1,1,0,0,5,13,20,0,0,0,4,0,0,4
강남서초교육지원청,강남구,푸른유치원(강남구),사립,사인,서울특별시 강남구 일원로14길 25,,37.4838689,127.0808707,09시00분~17시00분,1,2,2,0,0,30,58,58,0,0,0,14,0,0,14
강남서초교육지원청,서초구,하나유치원(서초구),사립,사인,서울특별시 서초구 잠원로8길 13,,37.5159681,127.0107817,08시00분~19시00분,3,2,2,0,0,56,57,61,0,0,0,14,0,0,14
강동송파교육지원청,강동구,서울강덕초등학교병설유치원(강동구),공립,병설,서울특별시 강동구 동남로82길 94-54,,37.5588618,127.1608488,09시00분~20시00분,1,1,2,0,1,9,16,41,0,5,0,3,1,1,5
강동송파교육지원청,강동구,근화유치원(강동구),사립,사인,서울특별시 강동구 고덕로 240,,37.5537384,127.1521093,08시30분~18시30분,0,0,1,1,0,0,0,24,34,0,0,4,0,1,5
