기준_년분기_코드,행정동_코드_명,행정동_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,교육_지출_총금액,유흥_지출_총금액,여가_문화_지출_총금액,기타_지출_총금액,음식_지출_총금액,인구수
20232,구의2동,11215860,2948328,6,4685204000,1617423000,122238000,28806000,527376000,60827000,168558000,144332000,284721000,246287000,1484636000,25604
20232,구의3동,11215870,4010979,8,12254423000,2069536000,618283000,695244000,1246937000,804902000,804198000,128266000,1419942000,2122173000,2344942000,27836
20232,군자동,11215730,2604535,6,7110321000,1757309000,66551000,238283000,1610957000,202905000,123674000,201679000,391702000,344486000,2172775000,19068
20232,능동,11215780,2846023,6,6737208000,919927000,54716000,362728000,1096595000,1392311000,71147000,236342000,570896000,76646000,1955900000,11095
20232,자양1동,11215820,2745988,6,6034161000,1991909000,289590000,43008000,1143310000,113062000,188789000,129199000,257158000,272767000,1605369000,21832
20232,자양2동,11215830,2999213,7,3930474000,1076018000,51656000,45069000,485834000,566290000,196814000,183044000,271746000,127233000,926770000,23625
20232,자양3동,11215840,4353416,8,5478407000,1489014000,575865000,23815000,554053000,293604000,419743000,27473000,374762000,168005000,1552073000,27216
20232,자양4동,11215847,2795134,6,8130117000,2192357000,236859000,34097000,912933000,23641000,96552000,290463000,623350000,424816000,3295049000,19881
20232,중곡1동,11215740,2542359,6,4597904000,1664390000,109976000,116773000,548360000,379817000,49618000,277220000,205054000,187335000,1059361000,15237
20232,중곡2동,11215750,2555101,6,3882812000,889080000,100905000,130500000,640745000,97215000,187185000,115403000,383511000,132488000,1205780000,20517
20232,중곡3동,11215760,2390961,5,2642671000,653192000,34726000,80474000,384232000,516181000,92400000,96741000,138981000,133007000,512737000,15727
20232,중곡4동,11215770,2523958,6,3701130000,1182791000,149554000,50399000,363302000,206815000,86883000,128071000,282865000,108252000,1142198000,27590
20232,화양동,11215710,2470026,6,21392332000,2739965000,1004146000,26007000,2841222000,992515000,186917000,2289808000,1181078000,795164000,9335510000,23192
20233,광장동,11215810,5284540,9,5035576000,1834804000,72465000,8880000,402688000,295763000,524962000,82661000,311727000,183158000,1318468000,33967
20233,구의1동,11215850,2683701,6,4669263000,993083000,74960000,134122000,570277000,98962000,71481000,333957000,192711000,155173000,2044537000,23124
20233,구의2동,11215860,2948328,6,4628588000,1584561000,80955000,34629000,504805000,90092000,186079000,138920000,414228000,250558000,1343761000,25604
20233,구의3동,11215870,4010979,8,12121976000,2075483000,499188000,617811000,1244259000,757561000,810886000,154510000,1643799000,1976534000,2341945000,27836
20233,군자동,11215730,2604535,6,6965007000,1553361000,46217000,249994000,2039706000,245754000,91225000,201376000,385090000,316483000,1835801000,19068
20233,능동,11215780,2846023,6,6306936000,865978000,31263000,421591000,967241000,1448672000,74336000,238892000,398050000,61666000,1799247000,11095
20233,자양1동,11215820,2745988,6,6266093000,2014125000,172037000,49678000,1567722000,142098000,183458000,118542000,237128000,264438000,1516867000,21832
20233,자양2동,11215830,2999213,7,3955315000,1069075000,35497000,39135000,544212000,629767000,204406000,184801000,286764000,110643000,851015000,23625
20233,자양3동,11215840,4353416,8,5366738000,1302597000,458614000,19239000,484408000,299387000,476028000,36147000,353943000,419608000,1516767000,27216
20233,자양4동,11215847,2795134,6,7746342000,2189555000,204133000,23309000,908921000,28849000,112558000,272410000,558274000,371482000,3076851000,19881
20233,중곡1동,11215740,2542359,6,4484011000,1760413000,79507000,110074000,556087000,372794000,41628000,278176000,167295000,124259000,993778000,15237
20233,중곡2동,11215750,2555101,6,3654674000,883117000,64833000,67344000,618811000,114864000,201304000,119493000,290189000,139882000,1154837000,20517
20233,중곡3동,11215760,2390961,5,2510261000,625966000,27633000,98313000,367932000,455258000,79421000,108624000,128307000,136938000,481869000,15727
20233,중곡4동,11215770,2523958,6,3560342000,1233698000,88356000,51146000,339132000,265496000,86014000,131325000,216367000,93907000,1054901000,27590
20233,화양동,11215710,2470026,6,19619443000,2411829000,899873000,19561000,2678832000,983802000,189658000,2023759000,1190961000,842229000,8378939000,23192
