주소,평균가격,평균면적
서울특별시 강북구 미아동 1357,74571.42857142857,85.45185714285715
서울특별시 강북구 미아동 1361,56000.0,66.01
서울특별시 강북구 미아동 1369,89900.0,77.612
서울특별시 강북구 미아동 137-7,79000.0,61.22
서울특별시 강북구 미아동 160-3,14182.142857142857,19.990114285714288
서울특별시 강북구 미아동 190-2,64000.0,84.91
서울특별시 강북구 미아동 318-5,60000.0,68.675
서울특별시 강북구 미아동 4,103333.33333333333,91.49666666666667
서울특별시 강북구 미아동 474,100000.0,84.93
서울특별시 강북구 미아동 561-2,69700.0,84.92
서울특별시 강북구 미아동 797,87166.66666666667,76.35333333333334
서울특별시 강북구 미아동 811,75500.0,59.905
서울특별시 강북구 미아동 812,86777.77777777778,76.39444444444445
서울특별시 강북구 미아동 813,97500.0,84.97
서울특별시 강북구 번동 133-1,54800.0,84.67
서울특별시 강북구 번동 136,61800.0,76.33999999999999
서울특별시 강북구 번동 138,74500.0,84.88
서울특별시 강북구 번동 139,75000.0,106.09
서울특별시 강북구 번동 148-490,40300.0,59.16
서울특별시 강북구 번동 148-494,51000.0,59.97
서울특별시 강북구 번동 191,63000.0,84.94
서울특별시 강북구 번동 204,65500.0,84.6
서울특별시 강북구 번동 234,66000.0,70.41333333333334
서울특별시 강북구 번동 242,66283.33333333333,50.474999999999994
서울특별시 강북구 번동 410,83066.66666666667,84.99346666666666
서울특별시 강북구 번동 411,88400.0,84.9909
서울특별시 강북구 번동 418-3,52500.0,71.05
서울특별시 강북구 번동 459-63,18650.0,41.47
서울특별시 강북구 번동 657,77250.0,96.95500000000001
서울특별시 강북구 번동 658,56500.0,59.28
서울특별시 강북구 번동 760,81500.0,101.38210000000001
서울특별시 강북구 수유동 180-31,29800.0,66.12
서울특별시 강북구 수유동 205,78520.0,99.53099999999999
서울특별시 강북구 수유동 223-7,18266.666666666668,13.47
서울특별시 강북구 수유동 229-49,67500.0,84.59
서울특별시 강북구 수유동 229-50,55000.0,84.83
서울특별시 강북구 수유동 274-3,30000.0,47.67
서울특별시 강북구 수유동 279-74,14500.0,14.86
서울특별시 강북구 수유동 280-14,28500.0,65.61
서울특별시 강북구 수유동 282-12,23000.0,65.82
서울특별시 강북구 수유동 282-20,14000.0,37.16
서울특별시 강북구 수유동 338-1,45500.0,84.97
서울특별시 강북구 수유동 403-17,14500.0,45.39
서울특별시 강북구 수유동 461-13,20000.0,58.51
서울특별시 강북구 수유동 48-8,10700.0,17.470000000000002
서울특별시 강북구 수유동 50-82,37000.0,62.91
서울특별시 강북구 수유동 52-30,34500.0,72.685
서울특별시 강북구 수유동 553-61,58500.0,84.99
서울특별시 강북구 수유동 63,52800.0,74.48
서울특별시 강북구 수유동 648,57875.0,85.85
서울특별시 강북구 수유동 729,41000.0,59.67
서울특별시 강북구 수유동 730,72916.66666666667,82.3655
서울특별시 강북구 수유동 733,10266.666666666666,12.148333333333333
서울특별시 강북구 수유동 734,46400.0,57.735
서울특별시 강북구 수유동 738,28000.0,27.39
서울특별시 강북구 수유동 741,22064.383561643837,20.4333698630137
서울특별시 강북구 수유동 77-9,15500.0,30.5
서울특별시 강북구 우이동 175,42700.0,77.71
서울특별시 강북구 우이동 340,54500.0,84.77
서울특별시 강북구 우이동 342,68700.0,76.60000000000001
서울특별시 강서구 가양동 14-3,101500.0,84.86333333333333
서울특별시 강서구 가양동 1459,138000.0,134.88
서울특별시 강서구 가양동 1461,70296.66666666667,44.52
서울특별시 강서구 가양동 1474,115000.0,131.4
서울특별시 강서구 가양동 1475,65450.0,38.010000000000005
서울특별시 강서구 가양동 1485,89366.66666666667,52.550000000000004
서울특별시 강서구 가양동 1490,61700.0,36.504
서울특별시 강서구 가양동 1495,76450.0,78.0975
서울특별시 강서구 가양동 1496,117000.0,84.95
서울특별시 강서구 가양동 1500,148000.0,98.9994
서울특별시 강서구 가양동 251-5,43000.0,71.38
서울특별시 강서구 가양동 448-1,74900.0,59.76
서울특별시 강서구 가양동 448-10,58000.0,84.22
서울특별시 강서구 가양동 448-9,76500.0,59.97
서울특별시 강서구 공항동 1374,91400.0,84.99
서울특별시 강서구 공항동 61-2,70000.0,62.4
서울특별시 강서구 내발산동 650-1,46000.0,71.69
